name,id,boe-occ-no,date-occ-issued,purpose,first-year-qualified
"Episcopal Church of Saint John the Evangelist, San Francisco ",837271,4282,12/11/03,Religious ,Unavl
"Episcopal Church of Saint Mary the Virgin in San Francisco, The ",20283,15100,8/31/04,Religious ,5-Apr
"Episcopal Church of The Epiphany In San Carlos, The ",252544,4283,12/11/03,Religious ,Unavl
"Episcopal Church of the Incarnation, The, San Francisco, California ",219486,4284,12/11/03,Religious ,Unavl
Episcopal Communities & Services for Seniors ,91281,6149,10/15/13,Charitable ,13-14
Episcopal Community Services ,309414,4285,12/11/03,Charitable ,Unavl
Episcopal Community Services of San Francisco ,1643901,4286,12/11/03,Charitable ,Unavl
"Episcopal Diocese of San Diego, The ",694811,4288,12/11/03,Religious ,Unavl
Episcopal Housing Alliance ,1785246,17792,4/28/09,Charitable ,7-Jun
Episcopal Housing Alliance Community Housing Development Organization ,1015805,4290,6/9/09,Charitable ,10-Sep
Episcopal Senior Communities ,500455,4289,1/20/09,Charitable ,9-Aug
Equal Access International ,2322709,21927,10/26/11,Charitable ,11-Oct
"Equal Rights Advocates, Inc. ",647707,4292,12/11/03,Charitable ,Unavl
E-Quality Care Corporation ,1491559,3968,12/11/03,Charitable ,Unavl
Equinox Center for Education ,604386,4294,6/9/05,Charitable ,6-May
Equipping Voice for Opportunity Living ,1928800,10700,3/16/07,Charitable ,8-Jul
Eras Home #2 ,1949751,16008,12/11/03,Charitable ,Unavl
"ERC QALICAB, Inc. ",3296064,23070,1/24/12,Charitable ,12-Nov
"Eritrean Community Cultural Civic Center, Inc. ",3014980,24498,2/2/16,Charitable ,13-14
"Ernest Clark Iverson Foundation, Inc. ",1783253,4297,12/11/03,Charitable ,Unavl
Erudite Technology Group ,1976176,18616,12/19/05,Charitable ,6-May
Esalen Institute ,460615,4298,12/11/03,Charitable ,Unavl
"Escalade Academy, Inc. ",2651709,24558,10/9/14,Charitable ,14-15
Escalon Community Ambulance Association ,421722,4299,12/11/03,Charitable ,Unavl
"Escalon Heritage Homes, Inc. ",1305255,4300,12/11/03,Charitable ,Unavl
"ESCAP Flight Operations, Inc. ",2610017,20434,11/24/08,Charitable ,6-May
Escondido Arts Partnership ,2035069,22460,2/28/11,Charitable ,10-Sep
"Escondido Children's Museum, Inc., The ",2220688,23928,9/20/13,Charitable ,12-Nov
Escondido Community Child Development Center ,891142,4302,12/11/03,Charitable ,Unavl
"Escondido Creek Conservancy, The ",1689601,14553,12/11/03,Charitable ,Unavl
Escondido Family Housing Corporation ,1522394,4304,12/11/03,Charitable ,Unavl
Escondido Gardens Housing Foundation ,1872060,4305,12/11/03,Charitable ,Unavl
"Escondido Seniors Housing, Inc. ",741497,4307,12/11/03,Charitable ,Unavl
Escuela Bilingue Internacional ,2718829,20802,11/6/08,Charitable ,8-Jul
Escuela de la Raza Unida ,665949,4308,12/11/03,Charitable ,Unavl
Escuela Del Rio ,736437,4310,12/11/03,Charitable ,Unavl
Eskaton ,1659599,23202,8/21/14,Charitable ,11-Oct
Eskaton Clearlake Oaks Manor ,2722614,22318,11/24/10,Charitable ,10-Sep
Eskaton FountainWood Lodge ,3353566,23185,6/7/13,Charitable ,13-Dec
Eskaton Frank Jaconetti Senior Manor ,1661890,4311,12/11/03,Charitable ,Unavl
Eskaton Gold River Lodge ,537634,4314,12/11/03,Charitable ,Unavl
"Eskaton Properties, Inc. ",1134487,4313,12/11/03,Charitable ,Unavl
Eskaton Roseville Manor ,2937651,22055,6/2/10,Charitable ,10-Sep
Eskaton Village-Grass Vallley ,2225180,15135,12/11/03,Charitable ,Unavl
Eskaton Village-Placerville ,3198958,23186,6/7/13,Charitable ,12-Nov
"Eskaton Village-Placerville, LLC ",2.00714E+11,20903,8/26/09,Charitable ,9-Aug
Eskaton Village-Roseville ,2330073,20367,9/17/08,Charitable ,8-Jul
Esoteric School of Theosophy in America ,507965,4315,12/11/03,Religious ,Unavl
"Esparto Family Apartments, LLC ",2.01131E+11,23336,11/9/12,Charitable ,13-Dec
Esperance Center ,1112853,4316,12/11/03,Charitable ,Unavl
"Esperanza Charities, Inc. ",1783710,17764,5/22/06,Charitable ,7-Jun
Esperanza Community Housing Corporation ,1639574,4318,12/11/03,Charitable ,Unavl
Esperanza Housing and Community Development Corporation ,1804691,4319,12/11/03,Charitable ,Unavl
"Esperanza Youth and Family Center, Inc. ",1868013,18565,6/30/06,Charitable ,5-Apr
Esperanza/39th Street Partners Corporation ,1969899,4320,12/11/03,Charitable ,Unavl
"Esseff Village, LLC ",2.00103E+11,19960,12/4/08,Charitable ,6-May
"Estancia Desert, LLC ",2.00905E+11,22282,2/6/12,Charitable ,11-Oct
Estate of Dee Fitzhugh and the Dee Fitzhugh Testamentary Trust ,9761990,4322,12/11/03,Charitable ,Unavl
Estero Bay United Methodist Church ,373437,4324,12/11/03,Religious ,Unavl
Estrella Family Services ,673012,4326,12/11/03,Charitable ,Unavl
"Estrella Warbird Museum, Inc. ",1814679,20439,10/3/08,Charitable ,9-Aug
"ETC, ETC, ETC ",1883807,18012,9/1/10,Charitable ,10-Sep
Eternal Promise Baptist Church of Los Angeles ,1402812,4330,12/11/03,Religious ,Unavl
Ethika Foundation ,2032186,14295,12/11/03,Charitable ,Unavl
"ETM-LA, Inc. ",2899952,22414,1/31/11,Charitable ,11-Oct
"Ettie Lee Homes, Inc. ",333028,4332,12/11/03,Charitable ,Unavl
Eucalyptus Housing Corporation ,1919928,4333,12/11/03,Charitable ,Unavl
Eucharistic Franciscian Missionary Sisters ,504030,4334,12/11/03,Religious ,Unavl
Eucharistic Missionaries of the Most Holy Trinity ,677442,4335,12/11/03,Religious ,Unavl
Eunice Ann Finch Resource Center ,2435521,17607,6/5/09,Charitable ,5-Apr
"eurAupair International, Inc. ",1623505,15941,4/6/04,Charitable ,2-Jan
Eureka Church of Religious Science ,1243628,4336,12/11/03,Religious ,Unavl
Eureka Concert & Film Center ,2252517,4337,12/11/03,Charitable ,Unavl
"Eureka Family Housing, LLC ",2.00703E+11,21512,6/22/10,Charitable ,9-Aug
Eureka Housing Development Corporation ,2107161,4338,12/11/03,Charitable ,Unavl
Eureka Rescue Mission ,520623,4339,12/11/03,Charitable ,Unavl
"Eureka Theatre, Inc. ",719064,21173,3/10/09,Charitable ,6-May
"Evangel Bible Translators International, Inc. ",1109649,4341,12/11/03,Religious ,Unavl
"Evangel Home, Inc. ",296851,4342,12/11/03,Charitable ,Unavl
"Evangel Literature, Inc. ",664780,4343,12/11/03,Religious ,Unavl
Evangelical Formosan Church of San Diego ,2282563,15666,12/11/03,Religious ,Unavl
"Evangelical Formosan Church, The ",617256,4344,12/11/03,Religious ,Unavl
"Evangelical Free Church of Concord, California ",519015,4345,12/11/03,Religious ,Unavl
Evangelical Free Church of Groveland ,816571,4346,12/11/03,Religious ,Unavl
Evangelical Free Church of Huntington Beach ,463890,4347,12/11/03,Religious ,Unavl
Evangelical Free Church of Laguna Hills ,608473,4348,12/11/03,Religious ,Unavl
"Evangelical Free Church of Orland, California, The ",383183,18314,7/27/05,Religious ,4-Mar
Evangelical Free Church of Oroville ,376029,20514,3/11/09,Religious ,8-Jul
Evangelical Free Church of Turlock ,52387,4350,12/11/03,Religious ,Unavl
"Evangelical Free Church of Yorba Linda, California ",565670,20449,5/12/08,Religious ,9-Aug
Evangelical Friends Church Southwest ,24324,5264,7/22/09,Religious ,4-Mar
"Evangelical Lutheran Church of Our Redeemer, The ",142414,4351,12/11/03,Religious ,Unavl
Evangelical Lutheran Church of the Cross ,301737,17393,2/25/05,Religious ,2-Jan
"Evangelical Lutheran Church of the Master of Corona Del Mar, California, The ",345370,16525,8/24/04,Religious ,98-99
"Evangelical Lutheran Trinity Church of El Paso de Robles, The, Inc. ",97178,4354,12/11/03,Religious ,Unavl
"Evangelicals for Social Action/ Fresno, Inc. ",1231965,4355,12/11/03,Charitable ,Unavl
"Evangelistic Missionary Crusades, Incorporated ",424525,4356,12/11/03,Religious ,Unavl
Evangelizadoras Eucharisticas De Los Pobres ,2122630,4357,12/11/03,Religious ,Unavl
"Evelyn and Walter Haas, Jr. Fund ",273038,4360,12/11/03,Charitable ,Unavl
Evelyn O. Royce Art Center ,3462424,24219,4/29/14,Charitable ,13-Dec
Evelyn S. Cox Child Development Center ,1591792,18689,1/23/06,Charitable ,5-Apr
"Evergreen Annex, Inc. ",1896482,14417,12/11/03,Charitable ,Unavl
"Evergreen Apartments GP, LLC ",2.01131E+11,23074,9/10/12,Charitable ,13-Dec
Evergreen Baptist Church of San Gabriel Valley ,1979343,21400,8/3/09,Religious ,9-Aug
"Evergreen Community School, Inc. ",1884397,4363,12/11/03,Charitable ,Unavl
Evergreen Jang-Ro Church ,2027139,16200,12/11/03,Religious ,Unavl
Evergreen Mission Church ,2916910,22409,1/28/11,Religious ,9-Aug
Evergreen Mutual Housing Association ,2166037,14388,12/11/03,Charitable ,Unavl
Evergreen South Coast Church ,2227685,15788,12/11/03,Religious ,Unavl
Evergreen Terrace Housing Corporation ,1115635,4364,12/11/03,Charitable ,Unavl
"Every Child's Dream Foundation, Inc ",3231303,24057,3/20/14,Charitable ,13-14
Everybody Wins! Los Angeles ,2546852,19041,5/2/06,Charitable ,5-Apr
"Everyday Magic, Inc. ",1827728,4369,12/11/03,Charitable ,Unavl
Everyone's Harvest ,2474299,24761,1/11/16,Charitable ,12-Nov
"Excel Education Foundation, Inc. ",1943400,15524,12/11/03,Charitable ,Unavl
Excellent Education Development ,2147777,15481,12/11/03,Charitable ,Unavl
Excelsior Academy ,1610205,4373,12/11/03,Charitable ,Unavl
"Excelsior German Center at the Altenheim, The ",19183,397,1/25/13,Charitable ,13-Dec
Exceptional Children's Foundation ,202426,4375,12/11/03,Charitable ,Unavl
"Exceptional Parents Unlimited, Inc. ",1676482,16495,4/5/05,Charitable ,00-01
"Exchange Club Center for the Prevention of Child Abuse of Northern California Counties, Incorporated ",1610856,15549,12/11/03,Charitable ,Unavl
"Exchange Club Child Abuse Prevention Center of Downey, Inc. ",1665287,16411,4/1/04,Charitable ,2-Jan
Executive Service Corps of Southern California ,986279,4380,12/11/03,Charitable ,Unavl
"Exeter Christian Services, Inc. ",1583958,24448,8/4/14,Charitable ,14-15
"Exeter Community Center, Inc. ",1819988,4382,12/11/03,Charitable ,Unavl
Exeter United Methodist Church ,191935,4385,12/11/03,Charitable ,Unavl
EXITheatre ,1273306,15430,5/5/04,Charitable ,3-Feb
Exloco ,2081876,16170,12/11/03,Charitable ,Unavl
Exodus United Methodist Church ,2586485,25097,8/26/15,Religious ,16-17
"Exotic Feline Breeding Compound, Inc. ",1215654,23529,10/15/13,Charitable ,12-Nov
Expandability ,999320,16150,6/19/15,Charitable ,15-16
"Expanding Your Horizons Network, The ",1123560,7953,8/12/10,Charitable ,7-Jun
"Exploratorium, The ",555573,4388,12/11/03,Charitable ,Unavl
"Explore Annenberg, LLC ",2.00721E+11,24410,8/21/14,Charitable ,11-Oct
Explore Ecology ,2835548,19702,2/28/13,Charitable ,13-14
"Explorer Pre-School, inc. ",470059,4389,12/11/03,Charitable ,Unavl
Exploring New Horizons ,921331,4390,12/11/03,Charitable ,Unavl
Explorit Science Center ,1233451,4391,12/11/03,Charitable ,Unavl
ExplorOcean ,1207211,8886,11/14/13,Charitable ,14-15
Extended Child Care Coalition of Sonoma County ,895767,21824,1/24/12,Charitable ,9-Aug
Extended Day Child Care Center ,1540804,4392,12/11/03,Charitable ,Unavl
Extended Hands Ministries ,3196379,19370,6/22/09,Charitable ,7-Jun
Eye Dog Foundation for the Blind ,267563,4395,12/11/03,Charitable ,Unavl
F.A.H.A. Manor ,1015995,4397,12/11/03,Charitable ,Unavl
"F.A.S.E. Centennial Fund, Inc. ",1272178,4398,12/11/03,Charitable ,Unavl
F.O.O.D. Share Inc. ,1233440,5063,12/11/03,Charitable ,Unavl
Fa Hua Buddhist Temple ,1198949,4399,12/11/03,Religious ,Unavl
Fa Yun Chan Temple ,2974069,21979,8/24/10,Religious ,11-Oct
Face to Face/The Sonoma County AIDS Network ,1184794,4401,12/11/03,Charitable ,Unavl
Facey Medical Foundation ,1492364,4402,12/11/03,Charitable ,Unavl
Fah Yuen Benevolent Association ,974621,4404,12/11/03,Charitable ,Unavl
"Fair Housing Council of Riverside County, Inc. ",1839179,18162,1/30/06,Charitable ,5-Apr
Fair Housing Council of the San Fernando Valley ,492079,4408,12/11/03,Charitable ,Unavl
Fair Housing of Marin ,1189304,4410,12/11/03,Charitable ,Unavl
Fair Oaks Girls Softball Association Inc. ,546692,4411,12/11/03,Charitable ,Unavl
"Fair Oaks United Methodist Church, The ",294810,4412,12/11/03,Religious ,Unavl
Fairfax Community Church United Church of Christ ,101893,4413,12/11/03,Religious ,Unavl
Fairfax Nonprofit Housing Development ,1076223,4414,12/11/03,Charitable ,Unavl
"Fairfax San Anselmo Children's Center, Inc. ",670321,4415,12/11/03,Charitable ,Unavl
Fairfield New Hope Church of the Nazarene ,2356076,17720,12/31/04,Religious ,5-Apr
"Fairfield Parent Pre-School, Inc. ",558137,4416,12/11/03,Charitable ,Unavl
"Fairfield, California, Assembly Hall of Jehovah's Witnesses ",1886418,20781,2/23/09,Religious ,9-Aug
"Fairfield-Suisun Community Action Council, Inc. ",544734,21761,3/7/12,Charitable ,10-Sep
"Fairvale Baptist Church Fair Oaks, California ",473562,4420,12/11/03,Religious ,Unavl
Fairview Heights Senior Citizens ,297621,4423,12/11/03,Charitable ,Unavl
"Fairview Homes, LLC ",2.01019E+11,24383,5/19/14,Charitable ,12-Nov
Fairview House ,1970876,15267,12/11/03,Charitable ,Unavl
Fairway Park Baptist Church ,520830,4424,12/11/03,Religious ,Unavl
Faith ,948276,4433,5/3/12,Religious ,7-Jun
Faith Baptist Church of Atascadero ,1124894,4427,12/11/03,Religious ,Unavl
Faith Baptist Church of Cherokee Road ,ASSOCIATION ,17450,4/27/06,Religious ,5-Apr
Faith Baptist Church of Fresno ,966994,19468,1/16/07,Religious ,7-Jun
Faith Baptist Church of Santa Barbara ,253455,18778,5/31/07,Religious ,6-May
Faith Baptist Church of Ventura County ,648897,23638,12/10/13,Religious ,13-14
Faith Based Community Development Corporation ,2121576,16171,12/11/03,Charitable ,Unavl
Faith Bible Church of South County ,2441749,24580,8/19/14,Religious ,11-Oct
Faith Chapel Assembly of God of Pleasanton ,1551759,4428,12/11/03,Religious ,Unavl
Faith Christian Reformed Church ,1476953,4430,12/11/03,Religious ,Unavl
"Faith Christian Schools, Inc. ",1080971,4431,12/11/03,Religious ,Unavl
Faith Community Bible Church ,234168,17921,8/5/05,Religious ,5-Apr
Faith Community Church by the Sea ,1901192,4432,12/11/03,Religious ,Unavl
Faith Community Church Of Fillmore ,1124317,20084,11/6/07,Religious ,7-Jun
"Faith Community Church of Oxnard, California, The ",295373,23790,6/16/14,Religious ,13-14
Faith Community Church of the Nazarene ,203224,24069,9/1/15,Religious ,13-Dec
Faith Community United Church of Christ ,359848,4434,12/11/03,Religious ,Unavl
"Faith Evangelical Lutheran Church of San Diego, California ",147492,4435,12/11/03,Religious ,Unavl
Faith Evangelical Lutheran Church of Sunland and Tujunga ,209044,4436,12/11/03,Religious ,Unavl
Faith Fellowship Foundation ,944930,4437,12/11/03,Religious ,Unavl
Faith Home Teen Ranch ,93982,4438,12/11/03,Charitable ,Unavl
Faith Hope & Love School ,1942367,22386,1/12/11,Charitable ,10-Sep
Faith Housing New Hope Apartments ,2154692,15961,12/11/03,Charitable ,Unavl
Faith In Christ Ministries ,1219791,20316,2/7/08,Religious ,6-May
Faith Life Community Church ,383577,7331,5/12/10,Religious ,11-Oct
Faith Lutheran Church ,305815,18020,11/28/05,Religious ,6-May
Faith Lutheran Church of Amador County ,507107,4441,12/11/03,Religious ,Unavl
"Faith Lutheran Church of Carpinteria, California ",458353,25393,12/8/15,Religious ,15-16
"Faith Lutheran Church of Hesperia, Calif. ",507597,17032,8/3/04,Religious ,5-Apr
"Faith Lutheran Church of Huntington Beach, California ",449967,4443,12/11/03,Religious ,Unavl
"Faith Lutheran Church, Inc., of Los Gatos, California ",241668,4445,12/11/03,Religious ,Unavl
Faith Lutheran High School Association ,646072,4446,12/11/03,Charitable ,Unavl
"Faith Mennonite Brethren Church of Fresno, California ",545930,4447,12/11/03,Religious ,Unavl
"Faith Missionary Baptist Church of Christ, Inc. ",1129048,4448,12/11/03,Religious ,Unavl
Faith Outreach International ,618334,4450,12/11/03,Religious ,Unavl
Faith Presbyterian Church of Oakland ,242070,4451,12/11/03,Religious ,Unavl
Faith Presbyterian Church of Valley Village ,187965,4929,9/5/06,Religious ,7-Jun
Faith Tabernacle ,192012,4454,12/11/03,Religious ,Unavl
"Faith Tabernacle Church of God in Christ, San Diego, California ",616697,14967,12/11/03,Religious ,Unavl
Faith Tabernacle of El Cajon ,450556,4455,12/11/03,Religious ,Unavl
Faith Tabernacle of Thousand Oaks ,687909,18570,4/30/09,Religious ,9-Aug
Faith United Methodist Church ,88625,4459,12/11/03,Religious ,Unavl
Faith United Presbyterian Church in Highland Park ,653852,17261,6/17/04,Religious ,5-Apr
Faithful Central Bible Church ,167190,16372,4/13/04,Charitable ,98-99
Faithful Central Educational Center ,875120,4460,12/11/03,Charitable ,Unavl
Faithful Fools Street Ministry ,2181544,4461,12/11/03,Charitable ,Unavl
Faithful St. Mark Missionary Baptist Church ,510046,17132,10/13/06,Religious ,3-Feb
Faith-Hope Counseling ,1082698,24421,5/5/14,Charitable ,13-14
FaithWorks Community Coalition ,2118240,17116,6/9/05,Charitable ,5-Apr
"Falconer, Inc. ",508876,4462,12/11/03,Charitable ,Unavl
"Fallbrook Center for the Arts, Inc. ",1825062,4471,7/27/09,Charitable ,10-Sep
Fallbrook Child Development Center ,962299,4464,12/11/03,Charitable ,Unavl
Fallbrook Country Day School ,721056,14469,12/11/03,Charitable ,Unavl
Fallbrook Food Pantry ,1689206,4465,6/9/05,Religious ,6-May
"Fallbrook Healthcare Foundation, Inc. ",912117,4466,12/11/03,Charitable ,Unavl
Fallbrook Land Conservancy ,1610455,4467,12/11/03,Charitable ,Unavl
Fallbrook Pregnancy Resource Center ,2589404,24105,8/9/13,Charitable ,11-Oct
"Fallbrook Renaissance, LLC ",2.00709E+11,20561,7/15/08,Charitable ,9-Aug
Fallbrook Senior Citizen's Service Club ,716432,4469,12/11/03,Charitable ,Unavl
"Fallbrook Skatepark, Incorporated ",2487292,22441,3/16/11,Charitable ,12-Nov
Fallbrook Sports Association ,1682237,4470,12/11/03,Charitable ,Unavl
Fallbrook United Methodist Church ,189065,25176,5/4/15,Religious ,12-Nov
Fallbrook United Presbyterian Church ,501446,18263,1/30/06,Religious ,6-May
FAME Assistance Corporation ,1437227,19995,10/1/07,Charitable ,7-Jun
Fame Housing Corporation ,1274432,4472,12/11/03,Charitable ,Unavl
Fame Santa Monica Redevelopment Corporation ,2097590,22905,11/2/11,Charitable ,10-Sep
Fame/Good Shepherd Center Housing Development Corporation ,1339615,4473,12/11/03,Charitable ,Unavl
Familia Center ,1279198,4474,12/11/03,Charitable ,Unavl
"Families Anonymous, Inc. ",663939,4476,12/11/03,Charitable ,Unavl
Families For Children Inc. ,1725913,24244,6/18/14,Charitable ,13-Dec
"Families For Children Treatment, Respite Care, Foster Care ",1629346,4479,12/11/03,Charitable ,Unavl
"Families For Early Autism Treatment, Inc. ",1859683,20767,11/12/08,Charitable ,9-Aug
Families Forward ,1263379,4481,12/11/03,Charitable ,Unavl
Families In Schools ,2258442,19040,6/7/06,Charitable ,2-Jan
Families In Transition of Santa Cruz County Inc. ,1838607,18975,6/7/06,Charitable ,5-Apr
"FamiliesFirst, Inc. ",730759,4485,12/11/03,Charitable ,Unavl
Family Action Centers of Colusa County ,3055540,21817,6/1/10,Charitable ,9-Aug
Family Alliance for the Mentally Ill Fresno ,1837297,4486,12/11/03,Charitable ,Unavl
Family and Children Services ,230675,15122,12/11/03,Charitable ,Unavl
Family and Children's Law Center ,1283141,4508,12/11/03,Charitable ,Unavl
Family Apartments ,1512778,4489,12/11/03,Charitable ,Unavl
Family Assistance Ministries ,2180945,21873,5/11/12,Charitable ,10-Sep
Family Assistance Program ,1278130,6039,10/30/12,Charitable ,13-Dec
Family Bible Fellowship ,1689898,22556,1/7/14,Religious ,11-Oct
"Family Bridges, Inc. ",565013,15151,12/11/03,Charitable ,Unavl
Family Builders By Adoption ,1179254,4491,12/11/03,Charitable ,Unavl
Family Care Foundation ,1905569,14556,12/11/03,Charitable ,Unavl
"Family Care Ministries, Inc. ",1592725,4492,12/11/03,Charitable ,Unavl
"Family Care Network, Inc. ",1595353,4493,12/11/03,Charitable ,Unavl
Family Community Church ,1226277,22013,7/22/10,Religious ,11-Oct
Family Connections Christian Adoptions ,1822251,4496,8/10/07,Charitable ,6-May
"Family Connections El Dorado, Inc. ",929368,4497,12/11/03,Charitable ,Unavl
Family Emergency Shelter Coalition ,1192027,4501,12/11/03,Charitable ,Unavl
Family F.O.C.U.S. ,2213418,25439,11/30/15,Charitable ,12-Nov
"Family Giving Tree, The ",1685845,23059,5/16/12,Charitable ,11-Oct
Family Health and Housing Foundation ,2184896,18014,11/30/05,Charitable ,6-May
"Family Health and Housing Foundation - Torrance 1, LLC ",2.00027E+11,18295,5/12/06,Charitable ,6-May
"Family Health Care Centers of Greater Los Angeles, Inc. ",119621,17560,12/6/10,Charitable ,6-May
Family Health Care Network ,890304,4502,12/11/03,Charitable ,Unavl
"Family Health Centers of San Diego, Inc. ",681324,4503,12/11/03,Charitable ,Unavl
Family Hope ,1836528,4505,12/11/03,Charitable ,Unavl
"Family House, Inc. ",1015487,4506,12/11/03,Charitable ,Unavl
"Family Housing and Adult Resources, Inc. ",589541,4507,12/11/03,Charitable ,Unavl
"Family Independence Initiative, The ",2434959,18202,6/15/05,Charitable ,6-May
"Family Institute of Marin, The ",1831151,14983,12/11/03,Charitable ,Unavl
"Family Keepers, Inc. ",2336271,23504,5/9/13,Religious ,11-Oct
Family Life Center ,833671,4509,12/11/03,Charitable ,Unavl
"Family Life Foundation, Incorporated ",1451657,4510,12/11/03,Charitable ,Unavl
"Family Link, The ",1186998,4512,12/11/03,Charitable ,Unavl
"Family of Faith, Inc. ",2181206,15737,12/11/03,Religious ,Unavl
"Family Paths, Inc. ",649000,9598,9/28/10,Charitable ,7-Jun
"Family Planning, Incorporated of Shasta County ",677859,4518,12/11/03,Charitable ,Unavl
"Family Programs, Inc. ",1526154,4519,12/11/03,Religious ,Unavl
"Family Renewal Development Center, Inc. ",1721940,4521,12/11/03,Charitable ,Unavl
Family Resource & Referral Center of San Joaquin ,540249,12419,8/30/06,Charitable ,6-May
Family Resource Center of Truckee ,2972452,20500,1/5/09,Charitable ,9-Aug
Family Resource Ministries ,1084207,4522,12/11/03,Religious ,Unavl
"Family Resources International, Inc. ",2012207,4514,12/11/03,Charitable ,Unavl
Family School ,1288626,4523,12/11/03,Charitable ,Unavl
Family Service Agency of Marin County ,263719,4528,12/11/03,Charitable ,Unavl
Family Service Agency of San Bernardino ,244138,4530,12/11/03,Charitable ,Unavl
Family Service Agency of San Francisco ,197762,4531,12/11/03,Charitable ,Unavl
Family Service Agency of Santa Barbara ,32670,4533,12/11/03,Charitable ,Unavl
Family Service Agency of the Central Coast ,615862,4539,3/21/06,Charitable ,7-Jun
Family Service Association ,279273,4546,12/30/10,Charitable ,11-Oct
Family Service Association of Redlands ,45849,4542,12/11/03,Charitable ,Unavl
Family Service of Long Beach ,157564,4550,12/11/03,Charitable ,Unavl
Family Service of San Leandro ,2009392,4552,12/11/03,Charitable ,Unavl
Family Service of the North Bay ,247199,4555,12/11/03,Charitable ,Unavl
"Family Service Property Holdings, LLC ",2.01032E+11,22505,8/15/11,Charitable ,12-Nov
Family Service Senior Housing Corporation ,1740810,4557,12/11/03,Charitable ,Unavl
"Family Services of the Desert, Inc. ",396237,22954,2/21/12,Charitable ,8-Jul
Family Services of Tulare County ,1134564,4556,12/11/03,Charitable ,Unavl
"Family Stations, Inc. ",354900,4561,12/11/03,Religious ,Unavl
Family Support Foundation ,1874767,4563,12/11/03,Charitable ,Unavl
Family Support Services of the Bay Area ,1651538,4564,12/11/03,Charitable ,Unavl
"Family Therapy Institute of Santa Barbara, The ",981529,4566,12/11/03,Charitable ,Unavl
"Family Tree House Project, The ",2221386,17833,2/10/05,Charitable ,4-Mar
Family Violence Law Center ,891364,4567,12/11/03,Charitable ,Unavl
Family YMCA of the Desert ,1117835,4570,12/11/03,Charitable ,Unavl
Fan Yum Buddhist Temple ,2080110,15986,12/11/03,Religious ,Unavl
"Far East Broadcasting Company, Inc. ",201128,4571,12/11/03,Religious ,Unavl
Far Horizons Corporation ,293080,4572,12/11/03,Religious ,Unavl
Far Reaching Ministries Aviation ,2710342,21505,4/30/15,Religious ,9-Aug
Far Reaching Ministries Inc. ,2097657,17361,8/31/04,Religious ,5-Apr
Far West Heritage Association ,989133,21951,4/30/13,Charitable ,9-Aug
Farallon Institute ,3009646,25282,8/13/15,Charitable ,9-Aug
Fargo Senior Center Housing LLC ,2.01207E+11,24144,4/1/14,Charitable ,13-14
"Fargo Senior Center, Inc. ",584697,4573,12/11/03,Charitable ,Unavl
"Farm Sanctuary, Inc. ",1838960,23420,3/22/14,Charitable ,9-Aug
"Farmersville Senior Citizens, Inc. ",1093290,4576,12/11/03,Charitable ,Unavl
Farrington Historical Foundation ,1929159,4577,12/11/03,Charitable ,Unavl
"Father's Heart-A Ranch for Children, Inc. ",2051964,17337,5/4/05,Charitable ,4-Mar
Fathers of Saint Charles ,818504,4582,12/11/03,Charitable ,Unavl
Fathers of the Order of Mount Carmel ,159043,4583,12/11/03,Religious ,Unavl
"Faulding Hotel, Inc. ",1621154,4584,12/11/03,Charitable ,Unavl
"Fauna Foundation, The ",704866,20911,8/11/09,Charitable ,5-Apr
Feather River Hospital ,220596,4586,12/11/03,Hospital ,Unavl
Feather River Land Trust ,2218214,25440,8/25/15,Charitable ,15-16
Feather River Men's Center ,2498833,21911,4/7/11,Religious ,11-Oct
"Feather River Senior Citizens Association, Inc. ",758756,4587,12/11/03,Charitable ,Unavl
"Feather River Tribal Health, Inc. ",2183819,14389,12/11/03,Charitable ,Unavl
Featherstone Canyon Christian Camp ,461685,4589,12/11/03,Religious ,Unavl
Federacion San Pablo De Colores ,774678,4590,12/11/03,Religious ,Unavl
"Federal Defenders of San Diego, Inc. ",617276,4591,12/11/03,Charitable ,Unavl
"Federated Church of Patterson, The ",173946,17923,2/23/06,Religious ,5-Apr
Federated Community Church of Alturas ,338699,4593,12/11/03,Religious ,Unavl
"Federation of Filipino American Associations, Inc. ",1310707,18045,8/16/05,Charitable ,6-May
"Federation of Preschool and Community Education Centers, Inc. ",656972,4597,12/11/03,Charitable ,Unavl
"Feed The Children, Inc. ",1864912,18460,9/23/05,Charitable ,00-01
Feeney Park Foundation ,1817156,19060,11/1/06,Charitable ,6-May
"Felix Y. Manalo Foundation, Inc. ",3476868,24921,1/12/15,Charitable ,14-15
"Fell Street Housing, Inc. ",1522227,4600,12/11/03,Charitable ,Unavl
"Fellowship Academy, Inc. ",1143297,4601,12/11/03,Religious ,Unavl
"Fellowship Center Foundation, Inc. ",559381,4603,12/11/03,Charitable ,Unavl
"Fellowship Center, Inc., The ",459699,4604,12/11/03,Charitable ,Unavl
Fellowship Homes ,391707,4605,12/11/03,Charitable ,Unavl
Fellowship Manor of Bethel A.M.E. Church ,821713,4606,12/11/03,Charitable ,Unavl
"Fellowship of Friends, Inc., The ",622511,21181,7/28/09,Religious ,7-Jun
Fender Museum of the Arts Foundation ,2015642,4614,12/11/03,Charitable ,Unavl
"Fern Lodge, Inc. ",535421,4616,12/11/03,Charitable ,Unavl
"Fern Street Community Arts, Inc. ",1869131,4617,12/11/03,Charitable ,Unavl
